"# Export CSV from Simcenter Amesim 2022.1 (encoding=""UTF - 8 - BOM"")",,,,,,,
"Time filename=E214E01752T_R1_211110_081827.data  ""1""","twistlock filename=E214E01752T_R1_211110_081827.data  ""1""","loadedunloaded filename=E214E01752T_R1_211110_081827.data  ""1""","tel.liftpressure filename=E214E01752T_R1_211110_081827.data  ""1""","liftheight filename=E214E01752T_R1_211110_081827.data  ""1""","Ps_liftpressure[barl] filename=E214E01752T_R1_211110_081827.data  ""1""","vehiclespeed filename=E214E01752T_R1_211110_081827.data  ""1""","Loadweight filtered filename=E214E01752T_R1_211110_081827.data  ""1"""
s,null,null,null,null,null,null,kg
1.31E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.52E-112
1.32E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.62E-112
1.33E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.73E-112
1.34E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,1.84E-112
1.35E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.96E-112
1.36E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,2.08E-112
1.37E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,2.22E-112
1.38E+01,1.00E+00,0.00E+00,5.30E+01,9.52E+02,8.40E+01,0.00E+00,2.36E-112
1.39E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.39E+01,0.00E+00,2.52E-112
1.40E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.39E+01,0.00E+00,2.68E-112
1.41E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.39E+01,0.00E+00,2.85E-112
1.42E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,3.04E-112
1.43E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,3.24E-112
1.44E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,3.45E-112
1.45E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.39E+01,0.00E+00,3.67E-112
1.46E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.39E+01,0.00E+00,3.91E-112
1.47E+01,1.00E+00,0.00E+00,5.00E+01,9.52E+02,8.40E+01,0.00E+00,4.16E-112
1.48E+01,1.00E+00,0.00E+00,5.00E+01,9.52E+02,8.40E+01,0.00E+00,4.43E-112
1.49E+01,1.00E+00,0.00E+00,5.30E+01,9.52E+02,8.40E+01,0.00E+00,4.72E-112
1.50E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,5.03E-112
1.51E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,5.35E-112
1.52E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,5.70E-112
1.53E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.39E+01,0.00E+00,6.07E-112
1.54E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.39E+01,0.00E+00,6.46E-112
1.55E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,6.88E-112
1.56E+01,1.00E+00,0.00E+00,5.00E+01,9.52E+02,8.40E+01,0.00E+00,7.33E-112
1.57E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,7.81E-112
1.58E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,8.31E-112
1.59E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,8.85E-112
1.60E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,9.43E-112
1.61E+01,1.00E+00,0.00E+00,5.00E+01,9.52E+02,8.39E+01,0.00E+00,1.00E-111
1.62E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.39E+01,0.00E+00,1.07E-111
1.63E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.14E-111
1.64E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.21E-111
1.65E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.39E+01,0.00E+00,1.29E-111
1.66E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.39E+01,0.00E+00,1.37E-111
1.67E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.39E+01,0.00E+00,1.46E-111
1.68E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.39E+01,0.00E+00,1.56E-111
1.69E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,1.66E-111
1.70E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.77E-111
1.71E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,1.88E-111
1.72E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,2.00E-111
1.73E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,2.13E-111
1.74E+01,1.00E+00,0.00E+00,5.30E+01,9.52E+02,8.40E+01,0.00E+00,2.27E-111
1.75E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,2.42E-111
1.76E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,2.58E-111
1.77E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.39E+01,0.00E+00,2.75E-111
1.78E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.39E+01,0.00E+00,2.92E-111
1.79E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.39E+01,0.00E+00,3.11E-111
1.80E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,3.32E-111
1.81E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,3.53E-111
1.82E+01,1.00E+00,0.00E+00,5.00E+01,9.52E+02,8.40E+01,0.00E+00,3.76E-111
1.83E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,4.00E-111
1.84E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,4.26E-111
1.85E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,4.54E-111
1.86E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,4.83E-111
1.87E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,5.15E-111
